id,name,kana,genre,author,year,version,url,resources,proxy,consent,chord,shift,os,software,phys_keys,thumb,keyboard,geometry,keymap,keymap_sub,figure,anim,q11,q12,q13,q21,q21c,q22,q23,q31,q32,q4,updated
oonishi,大西配列,おおにしはいれつ,romaji,大西拓磨,2022,普及版,https://o24.works/layout/,練習用テキスト^https://o24.works/layout/,配烈かな,,なし,シフトなし,Windows / macOS / Linux等,汎用キーリマッパー / QMK＋Remap等,29キー,不要,オーソリニア / カラムスタッガード / ロウスタッガード,ortho,"1234567890/|QLU,.FWRYP|EIAO-KTNSH|ZXCV;GDMJB",,,oonishi,同じ指を続けて使う場面を減らし、左右交互に運べるようにしました。ローマ字入力らしいリズミカルな入力を堪能できます。,母音を左手ホーム段にまとめ、指の移動距離を抑えています。,1,0,ローマ字のルールはそのままなので、位置を覚えるだけで済みます。,29キー,拗音の入力にSHを使えるようにして、覚える例外を減らしました。,100万字統計から開発。QWERTY配列から指の移動距離は約52%、同指の連続は約88%減少します。,青空文庫から集めた約100万字のローマ字を頻度分析し、打ちやすいキーほど多く使うよう配置しました。英文の入力効率も英語用の配列と同等の水準です。日英どちらも打つ方に向いています。,1文字あたりの打鍵数はかな系の配列より多くなります。,2026年9月19日
dvorak,DVORAK,どぼらっく,romaji,Dvorak,1936,—,https://example.com/dvorak,,配烈かな,連絡がつかないため未確認,なし,シフトなし,すべて,不要,26キー,不要,JIS / US,row,"1234567890-|',.PYFGCRL|AOEUIDHTNS|;QJKXBMWVZ",,,dvorak,母音を左手に集め、左右交互の打鍵になるようにしています。,使用頻度の高い文字をホーム段に置いています。,1,1,英文向けの設計なので、日本語では覚え直しが要ります。,00キー,—,いにしえの新配列。QWERTYから覇権を奪おうと運動を起こすも、その悲願は未だ道半ば。,1930年代に英文タイプライター向けに設計された配列です。日本語のローマ字入力に使うと、母音が左手に偏るぶん左右の負担が偏ります。,日本語向けに設計された配列ではないため、ローマ字入力での効率は近年の配列に及びません。,2026年10月1日
kakukaku,□□配列,かくかくはいれつ,gyodan,□□,2015,v1.0,https://example.com/kakukaku,,,,なし,前置シフト,Windows,やまぶき,00キー,不要,JIS,row,,,,,子音と母音を左右に分け、交互に打てる形にしています。,頻出する行段をホーム段に集めています。,1,1,ローマ字の考え方が残るので、乗り換えはなだらかです。,00キー,行と段の位置に規則性を持たせました。,長文でも指が散らばらず、快適です。,ここに補足が入ります。全角200字以内。,ここに不得意なことが入ります。全角200字以内。,2026年10月1日
marumaru,〇〇配列,まるまるはいれつ,gyodan,〇〇,2010,v2.1,https://example.com/marumaru,練習帳^https://example.com/marumaru/drill,,,あり,文字キーシフト,Windows,DvorakJ,00キー,不要,JIS,row,,,,,ここに滑らかさのひと言が入ります。全角50字以内。,ここに打鍵効率のひと言が入ります。全角50字以内。,2,0,規則性が強いので、覚える量は多くありません。,00キー,ここに工夫が入ります。全角50字以内。,とにかく覚えやすいのが特徴です。,ここに補足が入ります。全角200字以内。,,2026年10月1日
asuasu,明日明日配列,あすあすはいれつ,kana,明日,2001,v4,https://example.com/asuasu,,,,あり,センターシフト,Windows,DvorakJ,00キー,要,JIS,row,,,,,ここに滑らかさのひと言が入ります。全角50字以内。,ここに打鍵効率のひと言が入ります。全角50字以内。,2,2,覚える量は多いですが、語のまとまりで手が動きます。,00キー,ここに工夫が入ります。全角50字以内。,キーの連接がスムーズなので、流れるようなタイピングができます。,ここに補足が入ります。全角200字以内。,ここに不得意なことが入ります。全角200字以内。,2026年10月1日
gekkou,月光配列,げっこうはいれつ,kana,月光,2004,2-263,https://example.com/gekkou,,,,なし,前置シフト,Windows,DvorakJ,00キー,不要,JIS,row,,,,,ここに滑らかさのひと言が入ります。全角50字以内。,ここに打鍵効率のひと言が入ります。全角50字以内。,1,1,順番に押すだけなので、練習の入口が広いです。,00キー,ここに工夫が入ります。全角50字以内。,順番に押すだけなので、同時押しが苦手でも始められます。,ここに補足が入ります。全角200字以内。,ここに不得意なことが入ります。全角200字以内。,2026年10月1日
shinzouri,新草履配列,しんぞうりはいれつ,kana,草履,2012,v1.3,https://example.com/shinzouri,,,,あり,親指・文字キーシフト,Windows,やまぶき,00キー,要,JIS / 分割型,ortho,,,,,ここに滑らかさのひと言が入ります。全角50字以内。,ここに打鍵効率のひと言が入ります。全角50字以内。,0,2,単打が多いので、覚えてしまえば速く打てます。,00キー,ここに工夫が入ります。全角50字以内。,アルペジオを重視した高効率なカナ配列。単打率の高さに特徴あり。,ここに補足が入ります。全角200字以内。,ここに不得意なことが入ります。全角200字以内。,2026年10月1日
battou,抜刀式,ばっとうしき,kana,抜刀,2018,v3.2,https://example.com/battou,抜刀式練習帳^https://example.com/battou/drill;導入手順の動画^https://example.com/battou/movie,,,あり,センター・文字キーシフト,Windows,やまぶき,00キー,要,分割型 / カラムスタッガード,column,"1234567890-| きてし   るすへ |ろけとかっくあいうー|ほひはこそたなんられ",,,battou,キーの連なりが内側から外側へ流れるよう並べました。,頻度の高いかなをホーム段に集め、上段の使用を抑えています。,2,2,覚える量は多いですが、指が形で覚えていきます。,00キー,濁音は清音と同じ指で打てるよう対応づけています。,考えながら書ける長文向け配列。手書きするようにタイピングできます。,小説や記事のように、頭のなかで文を組み立てながら書く用途を想定しています。変換の待ち時間で思考が途切れないよう、句読点と助詞の位置を優先して決めました。本配列で「いろはにほへと」と打っていただくと、指の流れ方が伝わりやすいと思います。,速記のように短時間で大量の文字を打つ用途には向きません。同時打鍵を使うため、キーボードによっては入力を取りこぼすことがあります。また、記号や英数字の扱いは標準的な配列に劣ります。,2026年10月1日
ttmode,TT-Mode,てぃーてぃーもーど,kanchoku,TT,1985,—,https://example.com/ttmode,,配烈かな,あり,なし,シフトなし,Windows / Linux,漢直DD ほか,99キー,不要,JIS / US,row,,,,,ここに滑らかさのひと言が入ります。全角50字以内。,ここに打鍵効率のひと言が入ります。全角50字以内。,1,2,覚える字数が多く、習得には時間がかかります。,,部首の組み立てで覚えられるよう体系立てています。,2打鍵で漢字が出るので、変換が必要ありません。,ここに補足が入ります。全角200字以内。,ここに不得意なことが入ります。全角200字以内。,2026年10月1日
mimizuku,ミミズク式,みみずくしき,sokki,ミミズク,2020,v2,https://example.com/mimizuku,,,,あり,シフトあり,専用機,専用機,00キー,要,専用機（オーソリニア）,ortho,,,,,ここに滑らかさのひと言が入ります。全角50字以内。,ここに打鍵効率のひと言が入ります。全角50字以内。,0,2,速記の記号体系から覚える必要があります。,00キー,ここに工夫が入ります。全角50字以内。,熟語の入力が速く、速記のスゴさを実感できる配列です。,ここに補足が入ります。全角200字以内。,ここに不得意なことが入ります。全角200字以内。,2026年10月1日
